"","AVGFACSAL","SAT_AVG","RET_FT4","PCIP12","PCIP46","COMP_2YR_TRANS_YR2_RT","IND_WDRAW_2YR_TRANS_YR2_RT","NOPELL_WDRAW_4YR_TRANS_YR2_RT","COMP_2YR_TRANS_YR3_RT","UNKN_4YR_TRANS_YR4_RT","DEP_ENRL_2YR_TRANS_YR4_RT","LO_INC_COMP_2YR_TRANS_YR6_RT","LOAN_UNKN_ORIG_YR6_RT","FIRSTGEN_COMP_2YR_TRANS_YR6_RT","DEP_WDRAW_2YR_TRANS_YR8_RT","IND_WDRAW_2YR_TRANS_YR8_RT","PELL_WDRAW_4YR_TRANS_YR8_RT","IND_INC_PCT_H2","GT_25K_P6","MN_EARN_WNE_P6","COSTT4_A"
"100654",6678,847,0.6766,0,0,0.011244378,0.068181818,0.079545455,0.008750994,0.013545817,0.0227809190462333,0.0316345341628,0.0234530264015667,0.0306879780317334,0.06602954,0.05945946,0.162534435,0.00855397739780998,0.426,25600,17351
"100663",9650,1107,0.7991,0,0,0.006980162,0.01446281,0.028712871,0.012879103,0.00618276711353334,0.0235887706263333,0.023017903,0.013254787,0.030963303,0.041165295,0.029850746,0.102564103,0.0199771689,0.665,37500,20441
"100706",8923,1162,0.7929,0,0,0.008650519,0.025917927,0.035989717,0.022675737,0.00784186754613334,0.0232715322962,0.023668639,0.01025641,0.029490617,0.044481054,0.029268293,0.105263158,0.0307167235,0.668,39300,19687
"100724",6408,827,0.6155,0,0,0.009161381,0.03485597392,0.088,0.01450116,0.00977480190006666,0.0228423074204334,0.019524618,0.013597033,0.025873221,0.060606061,0.035971223,0.220930233,0.00490491097820667,0.36,22200,17533
"100751",9362,1172,0.8537,0,0,0.003369272,0.0174694058820334,0.028753994,0.008966376,0.00627451,0.0205344678618667,0.012014787,0.009548897,0.016037736,0.033075601,0.034883721,0.056690837,0.0347826087,0.67,36500,23939
"101116",4609,946.323,0.44,0,0,0.012984174,0.043465122,0.072413793,0.02253327,0.008130756,0.035455861,0.026503568,0.0153038148828,0.026611227,0.037037037,0.029017857,0.209777778,0.0144317058,0.611,37100,28156
"101161",6080,883.921733333333,0.578334691349207,0,0.002,0.010971787,0.036432161,0.087121212,0.023449713,0.0140906918456,0.020860495,0.0332935796957,0.0219031048899334,0.027667984,0.045741325,0.027272727,0.208588957,0.0105263158,0.467,26900,11195
"101365",5348,934.448566666667,0.5,0,0,0.010364964,0.034189518,0.087837838,0.017199017,0.0128502694449,0.0272659316127667,0.033103448,0.022810219,0.038528897,0.0629925543598667,0.0509766564624667,0.142857143,0.0165821571,0.564,31300,26737
"101480",6723,1038,0.6676,0,0,0.013013013,0.028571429,0.0478874447484333,0.014814815,0.007731959,0.025793419323,0.021864212,0.007490637,0.021356784,0.051001822,0.04315197,0.102787456,0.0389718076,0.521,29200,18748
"101505",6148,940.557066666667,0.612862654444444,0.0367,0,0.010950081,0.026506024,0.063917526,0.016569637,0.0131899567258667,0.0201458055280666,0.036342321,0.021621622,0.044576523,0.04,0.028169014,0.14084507,0.01149814,0.534,28500,13162
"101514",9010,953.4069,0.718706398227654,0.0155,0.0176,0.005313199,0.02173913,0.040669857,0.008961075,0.0107859349967,0.018302829,0.012155592,0.031362007,0.015511893,0.025232404,0.026192704,0.123497997,0.0087591241,0.472,27100,9372
"101879",7209,990,0.6867,0,0,0.01215395,0.023923445,0.044289044,0.016339869,0.0097085556356,0.0223840181910333,0.0265621120096333,0.0126639698620333,0.01996008,0.062103929,0.044217687,0.095505618,0.0224550898,0.551,30100,13940
