"","AVGFACSAL","SAT_AVG","RET_FT4","PCIP12","PCIP46","COMP_2YR_TRANS_YR2_RT","IND_WDRAW_2YR_TRANS_YR2_RT","NOPELL_WDRAW_4YR_TRANS_YR2_RT","COMP_2YR_TRANS_YR3_RT","UNKN_4YR_TRANS_YR4_RT","DEP_ENRL_2YR_TRANS_YR4_RT","LO_INC_COMP_2YR_TRANS_YR6_RT","LOAN_UNKN_ORIG_YR6_RT","FIRSTGEN_COMP_2YR_TRANS_YR6_RT","DEP_WDRAW_2YR_TRANS_YR8_RT","IND_WDRAW_2YR_TRANS_YR8_RT","PELL_WDRAW_4YR_TRANS_YR8_RT","IND_INC_PCT_H2","GT_25K_P6","MN_EARN_WNE_P6","COSTT4_A","RETURN"
"100663",10170,1146,0.8016,0,0,0.00627205,0.016548463,0.021348315,0.012858193,0.004985459,0.0220341485457,0.021363174,0.009610521,0.020531401,0.040343915,0.020506635,0.102189781,0.0291885581,0.669,38300,19990,0.915957978989495
"100706",9341,1180,0.8098,0,0,0.0136575257419333,0.0401504543539,0.029023747,0.016435986,0.00729874043163334,0.0288343419189,0.036072144,0.00953727366503333,0.049627792,0.057636888,0.026128266,0.074130106,0.0259887006,0.685,39200,20306,0.930463902294888
"100724",6557,830,0.6219,0,0,0.006293266,0.0317232886768333,0.107890539610467,0.015503876,0.009280743,0.0191918360944,0.0324574821047,0.015540944,0.033105023,0.058730159,0.040816327,0.233438486,0.00685700688192999,0.393,23100,17400,0.327586206896552
"100751",9605,1171,0.87,0,0,0.004839419,0.024420024,0.028686462,0.008086253,0.003985056,0.0211381538019334,0.020449898,0.00915404,0.017208413,0.033188463,0.026639344,0.076287349,0.0429906542,0.695,39000,26717,0.459744731818692
"100858",9429,1215,0.8946,0,0,0.005643739,0.0199264320738333,0.017205781,0.009397842,0.00498240767573334,0.0258339215799333,0.015209126,0.01191766,0.0189618997897,0.0438318433065,0.0285215770518,0.082225914,0.0183486239,0.741,40300,23788,0.694131494871364
"101116",4566,946.487466666666,0.1935,0,0,0.015670706,0.039082727,0.066634003,0.021815161,0.010444833,0.028962188,0.032329317,0.006464924,0.028593709,0.029147982,0.037935598,0.221343874,0.0198784933,0.58,34800,28525,0.219982471516214
"101161",6116,897.363966666667,0.620877063333334,0,0,0.014902364,0.033498759,0.090361446,0.02246604,0.00990041108286666,0.016068053,0.04358655,0.0190260577384,0.044628099,0.031496063,0.025862069,0.181055156,0.0116678106,0.475,27300,11921,1.29007633587786
"101365",5645,948.115599999999,0.5,0,0,0.010660487,0.037787514,0.044925125,0.017226277,0.018762564,0.022624434,0.0259323348133,0.0116649871234667,0.019011407,0.050583658,0.037339557,0.147562582,0.0145711907,0.566,30900,26656,0.15921368547419
"101480",6857,1036,0.7112,0,0,0.009465215,0.0304414,0.03030303,0.02002002,0.0074707859078,0.036337209,0.028776978,0.008498584,0.03440367,0.074626866,0.037593985,0.09321341,0.0293829579,0.548,30300,19202,0.577960629101135
"101505",6079,930.6454,0.614388406666667,0.0624,0,0.010941645,0.027186761,0.042600897,0.018357488,0.00885889503293334,0.018518519,0.035671819,0.0175538512838,0.044159544,0.038848921,0.04865557,0.156003506,0.0124636477,0.534,28600,12943,1.20968863478328
"101514",6083,915.590066666667,0.615255045735931,0.0141,0.0232,0.0056164,0.030192608,0.056818182,0.008389262,0.0105667543090667,0.018552876,0.019649123,0.017884915,0.016507385,0.034981906,0.031657356,0.136129032,0.011258956,0.454,26200,9829,1.66558144266965
"101879",7152,1028,0.7079,0,0,0.013709063,0.032876712,0.0420833575436,0.022957461,0.00920762733760002,0.0214299402136,0.021621622,0.01003009,0.021276596,0.0535275979933666,0.0385350712123333,0.075880759,0.0300500835,0.567,30300,15058,1.01221941824944
"102094",7212,1064,0.6787,0,0,0.011811024,0.030883919,0.034518829,0.019856214,0.00703202984296666,0.0228935929943333,0.031437126,0.006412997,0.029649596,0.053896577,0.03965702,0.105157401,0.0264857881,0.623,34300,17125,1.0029197080292
"102368",5996,990,0.7389,0,0,0.011265339,0.014616322,0.049056604,0.017952128,0.01483813,0.023671752,0.027815468,0.004699038,0.026548673,0.043360434,0.02259887,0.170273711,0.0174073316,0.601,33100,16877,0.961249037151153
"102553",8471,1055.15753333333,0.7062,0.0157,0,0.008296107,0.0204111975378,0.039817975,0.0121875,0.004917457,0.008737093,0.016553067,0.017241379,0.015748032,0.019607843,0.014883721,0.074198988,0.0216253924,0.677,39900,13180,2.02731411229135
"103361",7202,1049.53466666667,0.70696992969697,0,0,0.008296107,0.0202901766639,0.039817975,0.0121875,0.004917457,0.008737093,0.016553067,0.017241379,0.015748032,0.019607843,0.014883721,0.074198988,0.0216253924,0.677,39900,12434,2.20894322020267
"104151",10405,1145,0.844,0,0,0.004772293,0.024869346,0.023620357,0.00769452,0.003528115,0.021195652,0.013107345,0.008352474,0.013813518,0.059260455,0.042911634,0.051657813,0.0436772692,0.728,40300,21960,0.835154826958106
"104160",9023,884.589866666667,0.629370796666667,0.0018,0.1874,0.00974026,0.025547445,0.0776487241472667,0.014935742,0.0118882084019333,0.020538244,0.031563845,0.059405941,0.035984849,0.036866359,0.03046595,0.1337471818804,0.00673341540730666,0.406,24900,14337,0.736765013601172
"104179",10320,1106,0.8148,0,0,0.009791123,0.036723164,0.02634352,0.016638935,0.00688523187013334,0.033552902,0.018267223,0.005805852,0.022277228,0.054206663,0.028703704,0.059427733,0.0130605137,0.693,39500,23905,0.652373980338841
"104346",6164,881.182066666667,0.630528584761904,0.0117,0.1444,0.009327633,0.066453674,0.0725272185398667,0.019461698,0.0110695282258333,0.03803681,0.045317221,0.0371759964484334,0.054347826,0.075842697,0.103448276,0.097014925,0.0072852761,0.463,27100,9205,1.94405214557306
"104364",4926,930.4894,0,0,0,0.007660293,0.042752955,0.040449438,0.009244928,0.036816065,0.021084337,0.0292837159834,0.0199468386578667,0.027667984,0.0554250548886333,0.0482641657236,0.0993018553662999,0.0052680222,0.537,29100,24344,0.195366414722314
"104586",8387,1171,0.828,0,0,0.005878285,0.013472137,0.054022989,0.00952381,0.004835165,0.0211836786852667,0.016271324963,0.00984456,0.019710907,0.037763253,0.027127004,0.088461539,0.0226279249,0.787,49300,45228,0.09003272309189
"104708",8601,934.258766666667,0.636245525714285,0,0,0.015490259,0.096994112,0.047016275,0.024834182,0.004993278,0.047865975,0.047103411,0.012212644,0.053229241,0.092494314,0.135021097,0.121307073,0.003989844,0.568,30300,12043,1.51598438927178
"104717",5473,991.3757,0.5878,0,0,0.0058066,0.022412657,0.0264,0.010620533,0.01049262,0.017869416,0.018353576,0.009937704,0.016119578,0.049773756,0.023387097,0.144021739,0.0693971497,0.596,38400,31613,0.214690159111758
